id_transaccion,fecha,id_socio,nombre_cliente,sucursal,categoria_servicio,tipo_membresia,monto_ingreso,costo_adquisicion_cac,duracion_meses_socio,estado_socio,asistencias_mes,nps_satisfaccion
TRX-RD-5001,2025-01-28,037-9546737-6,"Stephanie Reyes Gómez","Punta Cana (Bávaro)","Membresías","Básica",1690.00,1340.00,7,Activo,12,8
TRX-RD-5003,2025-01-28,002-6588410-6,"Laura Díaz Díaz","Santo Domingo Este (Zona Oriental)","Membresías","Premium",2690.00,1880.00,6,Activo,14,7
TRX-RD-5029,2025-01-28,402-9032230-0,"Pedro Morales García","Punta Cana (Bávaro)","Membresías","Básica",1690.00,1224.00,9,Activo,8,8
TRX-RD-5032,2025-01-28,097-9949127-0,"Francisco Santana Peña","Santo Domingo (Piantini)","Membresías","VIP",4890.00,2523.00,15,Activo,9,7
TRX-RD-5040,2025-01-28,097-6771051-1,"Nicole Cruz Morales","Santo Domingo (Piantini)","Membresías","Premium",2690.00,1626.00,11,Activo,8,7
TRX-RD-5085,2025-01-28,031-3656944-3,"Joan Martínez Cruz","Santo Domingo Este (Zona Oriental)","Membresías","Básica",1690.00,1281.00,1,Activo,8,8
TRX-RD-5124,2025-02-01,001-4914206-9,"Gabriel Díaz Reyes","Santiago (Los Jardines)","Membresías","Premium",2690.00,1504.00,15,Activo,9,9
TRX-RD-5128,2025-02-01,001-2647774-4,"Nicole Ventura Morales","Punta Cana (Bávaro)","Personal Trainer","Básica",1580.00,1220.00,7,Activo,12,8
TRX-RD-5129,2025-02-01,001-7971463-9,"Luisa Peña Díaz","Punta Cana (Bávaro)","Membresías","VIP",4890.00,2491.00,11,Activo,13,8
TRX-RD-5130,2025-02-01,002-2068409-6,"Gabriel Díaz Guzmán","Puerto Plata Club","Membresías","Básica",1690.00,1264.00,10,Activo,11,9
TRX-RD-5133,2025-02-01,011-7856238-3,"Gabriel Marte Sánchez","Santo Domingo (Piantini)","Personal Trainer","Básica",1526.00,1325.00,8,Activo,11,8
TRX-RD-5181,2025-02-01,001-1274666-4,"Kelvin Marte Guzmán","Santiago (Los Jardines)","Membresías","Premium",2690.00,1496.00,10,Activo,7,9
TRX-RD-5218,2025-02-01,097-3249981-0,"Manuel Reyes Rosario","Puerto Plata Club","Membresías","Básica",1690.00,1486.00,10,Activo,6,9
TRX-RD-5238,2025-02-01,402-7552381-5,"Manuel Rosario Díaz","Santo Domingo Este (Zona Oriental)","Membresías","Básica",1690.00,1509.00,4,Activo,12,8
TRX-RD-5194,2025-02-02,037-4666965-8,"Genesis Sánchez Santana","Santiago (Los Jardines)","Personal Trainer","Básica",1612.00,1234.00,8,Activo,9,8
TRX-RD-5177,2025-02-03,002-2223394-2,"Johanny Martínez Reyes","Santo Domingo (Piantini)","Tienda Deportiva","Premium",1541.00,1445.00,7,Activo,11,7
TRX-RD-5185,2025-02-03,031-8639038-5,"Manuel Cruz Santana","Santiago (Los Jardines)","Membresías","Premium",2690.00,1556.00,10,Activo,10,8
TRX-RD-5204,2025-02-03,001-7888720-4,"Pedro Peña Guzmán","Puerto Plata Club","Membresías","VIP",4890.00,2841.00,13,Activo,12,9
TRX-RD-5212,2025-02-03,037-6396478-4,"Miguel Marte Rosario","Punta Cana (Bávaro)","Tienda Deportiva","Básica",1494.00,1489.00,7,Activo,12,9
TRX-RD-5234,2025-02-03,011-4532392-7,"Gabriel Marte Vásquez","Santo Domingo Este (Zona Oriental)","Membresías","Premium",2690.00,1474.00,14,Activo,7,6
TRX-RD-5090,2025-02-04,002-1793907-3,"Genesis Jiménez Morales","Puerto Plata Club","Membresías","VIP",4890.00,2188.00,8,Activo,12,9
TRX-RD-5113,2025-02-04,002-4974312-1,"Patricia Guzmán Pérez","Santo Domingo (Piantini)","Membresías","Premium",2690.00,1678.00,10,Activo,8,9
TRX-RD-5149,2025-02-04,097-6771051-1,"Nicole Cruz Morales","Santo Domingo (Piantini)","Personal Trainer","Premium",1306.00,1626.00,11,Activo,14,8
TRX-RD-5160,2025-02-04,002-0919408-3,"Laura Cruz Gómez","Santiago (Los Jardines)","Membresías","Básica",1690.00,1307.00,13,Activo,12,7
TRX-RD-5215,2025-02-04,031-7537326-9,"Johanny Guzmán Pérez","Santo Domingo (Piantini)","Membresías","Premium",2690.00,1736.00,9,Activo,9,8
TRX-RD-5225,2025-02-04,037-7679995-3,"Juan Gómez Rodríguez","Punta Cana (Bávaro)","Membresías","Básica",1690.00,924.00,10,Activo,9,7
TRX-RD-5244,2025-02-04,037-3006683-8,"Carmen Peña Peña","Punta Cana (Bávaro)","Membresías","Básica",1690.00,1406.00,10,Activo,14,9
TRX-RD-5102,2025-02-05,097-7920909-8,"Ana García Santana","Santo Domingo Este (Zona Oriental)","Tienda Deportiva","Básica",1554.00,1411.00,10,Activo,17,8
TRX-RD-5147,2025-02-05,011-6072118-7,"Stephanie Cruz Sánchez","Santiago (Los Jardines)","Membresías","Básica",1690.00,1288.00,6,Activo,10,9
TRX-RD-5216,2025-02-05,031-7537326-9,"Johanny Guzmán Pérez","Santo Domingo (Piantini)","Personal Trainer","Premium",1237.00,1736.00,9,Activo,9,8
TRX-RD-5105,2025-02-06,037-5764630-6,"Yamilka Sánchez Sánchez","Santiago (Los Jardines)","Membresías","VIP",4890.00,2364.00,17,Activo,16,8
TRX-RD-5135,2025-02-06,031-6851654-4,"José Rosario Pérez","Santo Domingo Este (Zona Oriental)","Membresías","Básica",1690.00,1363.00,7,Activo,12,9
TRX-RD-5141,2025-02-06,097-9949127-0,"Francisco Santana Peña","Santo Domingo (Piantini)","Membresías","VIP",4890.00,2523.00,15,Activo,16,7
TRX-RD-5183,2025-02-06,002-4145283-8,"Stephanie Martínez Rodríguez","Punta Cana (Bávaro)","Membresías","Básica",1690.00,1446.00,10,Activo,12,8
TRX-RD-5193,2025-02-06,037-4666965-8,"Genesis Sánchez Santana","Santiago (Los Jardines)","Membresías","Básica",1690.00,1234.00,8,Activo,9,8
TRX-RD-5224,2025-02-06,402-5274340-2,"Altagracia Morales Sánchez","Santiago (Los Jardines)","Personal Trainer","Premium",1097.00,1875.00,9,Activo,10,8
TRX-RD-5232,2025-02-06,001-9581794-5,"Carlos Sánchez Martínez","Puerto Plata Club","Membresías","VIP",4890.00,2196.00,12,Activo,18,8
TRX-RD-5104,2025-02-07,097-6529660-4,"Johanny Pérez García","Santo Domingo Este (Zona Oriental)","Membresías","Básica",1690.00,1226.00,4,Activo,15,9
TRX-RD-5116,2025-02-07,097-1176412-7,"Gabriel Jiménez Sánchez","Santo Domingo (Piantini)","Clases Guiadas","Premium",1075.00,1963.00,8,Activo,10,8
TRX-RD-5123,2025-02-07,402-7470758-3,"Johanny Pérez Reyes","Santo Domingo (Piantini)","Personal Trainer","VIP",1620.00,2407.00,9,Activo,14,8
TRX-RD-5174,2025-02-07,002-5305764-0,"Patricia Castillo Santana","Punta Cana (Bávaro)","Membresías","Básica",1690.00,1329.00,9,Activo,8,10
TRX-RD-5180,2025-02-07,011-7999624-2,"Rafael Rosario Martínez","Puerto Plata Club","Membresías","Premium",2690.00,1879.00,5,Activo,9,9
TRX-RD-5186,2025-02-07,037-2983311-5,"Rafael Reyes Reyes","Santiago (Los Jardines)","Membresías","Premium",2690.00,1440.00,6,Activo,7,6
TRX-RD-5187,2025-02-07,002-9773654-8,"Ramón Guzmán García","Santo Domingo (Piantini)","Membresías","VIP",4890.00,2398.00,14,Activo,11,6
TRX-RD-5203,2025-02-07,031-4566564-6,"Carolina Vásquez Jiménez","Santiago (Los Jardines)","Membresías","Básica",1690.00,1233.00,7,Activo,14,8
TRX-RD-5096,2025-02-08,402-1899446-1,"Yamilka Castillo Pérez","Punta Cana (Bávaro)","Membresías","Básica",1690.00,1110.00,7,Activo,9,7
TRX-RD-5099,2025-02-08,097-5613607-4,"Miguel Díaz Cruz","Punta Cana (Bávaro)","Membresías","Básica",1690.00,1355.00,14,Activo,8,8
TRX-RD-5168,2025-02-08,402-6702324-6,"Alejandro Peña Cruz","Santo Domingo (Piantini)","Membresías","Premium",2690.00,1835.00,9,Activo,12,9
TRX-RD-5195,2025-02-08,011-0266902-3,"Genesis Castillo Peña","Santo Domingo (Piantini)","Membresías","VIP",4890.00,2620.00,14,Activo,8,9
TRX-RD-5242,2025-02-08,097-4974915-7,"Laura Santana Vásquez","Punta Cana (Bávaro)","Membresías","Básica",1690.00,1537.00,11,Activo,12,8
TRX-RD-5103,2025-02-09,011-4381267-3,"Carlos Reyes Sánchez","Santo Domingo Este (Zona Oriental)","Membresías","Premium",2690.00,1600.00,6,Activo,10,6
TRX-RD-5110,2025-02-09,031-9385468-8,"Manuel Marte Vásquez","Santo Domingo Este (Zona Oriental)","Membresías","Básica",1690.00,1318.00,8,Activo,15,9
TRX-RD-5117,2025-02-09,001-9939436-2,"Pedro Rosario Sánchez","Santo Domingo Este (Zona Oriental)","Membresías","Básica",1690.00,1328.00,12,Activo,19,8
TRX-RD-5163,2025-02-09,402-0475896-1,"Carolina Reyes Rosario","Santo Domingo (Piantini)","Personal Trainer","Premium",1624.00,1762.00,12,Activo,12,8
TRX-RD-5166,2025-02-09,001-6928831-3,"Laura Guzmán Santana","Santo Domingo (Piantini)","Membresías","Premium",2690.00,1783.00,8,Activo,9,9
TRX-RD-5213,2025-02-09,037-2632060-3,"Nicole Castillo Rodríguez","Santo Domingo (Piantini)","Membresías","VIP",4890.00,2417.00,12,Activo,11,7
TRX-RD-5226,2025-02-09,002-8193156-8,"Altagracia Martínez Castillo","Punta Cana (Bávaro)","Membresías","Básica",1690.00,1073.00,9,Activo,8,6
TRX-RD-5108,2025-02-10,402-9497962-6,"Juan Sánchez Ventura","Santo Domingo Este (Zona Oriental)","Tienda Deportiva","Premium",1184.00,1775.00,11,Activo,12,8
TRX-RD-5134,2025-02-10,011-7856238-3,"Gabriel Marte Sánchez","Santo Domingo (Piantini)","Clases Guiadas","Básica",1044.00,1325.00,8,Activo,11,8
TRX-RD-5235,2025-02-10,011-4532392-7,"Gabriel Marte Vásquez","Santo Domingo Este (Zona Oriental)","Tienda Deportiva","Premium",1727.00,1474.00,14,Activo,7,6
TRX-RD-5243,2025-02-10,031-3656944-3,"Joan Martínez Cruz","Santo Domingo Este (Zona Oriental)","Membresías","Básica",1690.00,1281.00,1,Cancelado,10,7
TRX-RD-5089,2025-02-11,002-6588410-6,"Laura Díaz Díaz","Santo Domingo Este (Zona Oriental)","Personal Trainer","Premium",1648.00,1880.00,6,Activo,10,9
TRX-RD-5118,2025-02-11,011-5108527-9,"Yudelka Morales Castillo","Santiago (Los Jardines)","Membresías","Premium",2690.00,1676.00,10,Activo,4,9
TRX-RD-5196,2025-02-11,011-0266902-3,"Genesis Castillo Peña","Santo Domingo (Piantini)","Personal Trainer","VIP",1221.00,2620.00,14,Activo,8,9
TRX-RD-5207,2025-02-11,011-5973150-2,"Ramón Díaz Castillo","Santiago (Los Jardines)","Tienda Deportiva","Básica",1881.00,952.00,5,Activo,10,7
TRX-RD-5208,2025-02-11,001-2826741-6,"Yamilka Santana Martínez","Santo Domingo Este (Zona Oriental)","Membresías","Básica",1690.00,1389.00,12,Activo,6,6
TRX-RD-5227,2025-02-11,402-3646088-3,"Kelvin Reyes Cruz","Punta Cana (Bávaro)","Membresías","VIP",4890.00,2581.00,6,Activo,7,8
TRX-RD-5229,2025-02-11,097-8381334-9,"Carmen Rosario Ventura","Puerto Plata Club","Membresías","Premium",2690.00,1763.00,12,Activo,8,7
TRX-RD-5125,2025-02-12,402-3864375-9,"Kelvin Ventura Pérez","Santo Domingo (Piantini)","Membresías","VIP",4890.00,2450.00,9,Activo,13,9
TRX-RD-5165,2025-02-12,031-1581612-0,"Ana Cruz Sánchez","Puerto Plata Club","Membresías","Básica",1690.00,1359.00,7,Activo,5,6
TRX-RD-5219,2025-02-12,097-2808250-5,"Johanny Paulino Rodríguez","Puerto Plata Club","Membresías","VIP",4890.00,2070.00,6,Activo,14,8
TRX-RD-5230,2025-02-12,002-6485922-4,"Carlos Sánchez García","Santiago (Los Jardines)","Membresías","Premium",2690.00,1669.00,8,Activo,9,7
TRX-RD-5131,2025-02-13,402-9032230-0,"Pedro Morales García","Punta Cana (Bávaro)","Membresías","Básica",1690.00,1224.00,9,Activo,13,8
TRX-RD-5169,2025-02-13,402-0772858-1,"Rosa Ventura Jiménez","Puerto Plata Club","Membresías","VIP",4890.00,2382.00,8,Activo,6,10
TRX-RD-5179,2025-02-13,002-3232256-0,"Patricia Santana Morales","Santo Domingo (Piantini)","Tienda Deportiva","Básica",1952.00,1098.00,11,Activo,13,9
TRX-RD-5182,2025-02-13,002-7964571-7,"Yamilka Ventura Peña","Punta Cana (Bávaro)","Membresías","Básica",1690.00,1430.00,11,Activo,9,7
TRX-RD-5191,2025-02-13,002-6259335-3,"Emmanuel Guzmán Rosario","Santo Domingo Este (Zona Oriental)","Membresías","Premium",2690.00,2156.00,16,Activo,6,7
TRX-RD-5210,2025-02-13,031-3955124-0,"Luis Pérez Vásquez","Santo Domingo (Piantini)","Personal Trainer","Básica",1167.00,1130.00,9,Activo,11,8
TRX-RD-5222,2025-02-13,031-5780704-5,"Joan Guzmán Rodríguez","Punta Cana (Bávaro)","Membresías","VIP",4890.00,2509.00,13,Activo,10,6
TRX-RD-5095,2025-02-14,402-3725711-4,"Genesis Rodríguez Sánchez","Punta Cana (Bávaro)","Tienda Deportiva","Básica",1462.00,1179.00,14,Activo,14,9
TRX-RD-5097,2025-02-14,011-9439820-0,"Ramón Guzmán Reyes","Santo Domingo (Piantini)","Membresías","Premium",2690.00,1665.00,9,Activo,9,9
TRX-RD-5158,2025-02-14,002-3548885-5,"Miguel Vásquez Cruz","Punta Cana (Bávaro)","Clases Guiadas","Básica",1273.00,1131.00,4,Activo,9,9
TRX-RD-5106,2025-02-15,402-9497962-6,"Juan Sánchez Ventura","Santo Domingo Este (Zona Oriental)","Membresías","Premium",2690.00,1775.00,11,Activo,12,8
TRX-RD-5148,2025-02-15,097-6771051-1,"Nicole Cruz Morales","Santo Domingo (Piantini)","Membresías","Premium",2690.00,1626.00,11,Activo,14,8
TRX-RD-5170,2025-02-15,011-0803242-4,"Laura Gómez Ventura","Santiago (Los Jardines)","Membresías","VIP",4890.00,2719.00,12,Activo,6,8
